images,final dataset
000000066327.jpg,غرفة تحضير الطعام موضوع بوسطها طاولة
000000066360.jpg,طاولة بها طبق به قطعاتان من الخبز وفنجان صغير وموضوع جانبهم كوبان من العصائر
000000066519.jpg,طائر ابيض يسير في الماء
000000066556.jpg,قط يجلس على كرسي في حديقة
000000066568.jpg,دميتان على شكل دُب أحدهم يرتدي قبعة  بنية و عليهم كور ملونة صغيرة
000000066734.jpg,قطة بيضاء مغمضة عينيها و تقف خلف النافذة
000000067191.jpg,طائر يحلق بجوار منزل وشباك مكسور
000000067261.jpg,إناء متنوع موضوع به العديد من الفاكهة كالبرتقال والتفاح و الخضروات كالليمون و البصل
000000067262.jpg,حديقة كثيفة الأشجار الخضراء بها كرسي خشبي وبعض الورود.
000000067463.jpg,شاحنة نقل كبير تسير في الشارع
000000067490.jpg,"إشارة المرور فوق، تضئ بالأخضر وقت الغروب والتاريخ والوقت مدونان أسفل الصورة يمينا."
000000067527.jpg,بعض الغنمات أعلي التلة العشبية وخلفهم شجرة كبيرة
000000067776.jpg,حقائب سفر صفراء اللون باحجام مختلفة
000000067788.jpg,بحيرة بها بعض من السفن والمراكب
000000067814.jpg,كرسي خشبي قديم على جانب الطريق
000000067838.jpg,صبي يمارس هواية التزلج على الماء باستخدام مزلجة
000000067847.jpg,رجلان يقفان على حشائش وسط الاشجار
000000067886.jpg,رجل ممسكاُ لوح تزحلق وبخلفه طفل صغير ويسيران أثناء وقت الغروب
000000067917.jpg,أرض  متسعة عليها بعض الجليد  ويوجد مقعدان وشجر لا أوراق له.
000000067961.jpg,بروكلي أخضر مع معكرونة بصلصة
000000068021.jpg,طفل صغير يأكل كعك محلاه
000000068030.jpg,أحد البقرات المتواجدة في المزرعة
000000068036.jpg,ثلاث من القطارات يسيرون بجانب بعض
000000068047.jpg,مجموعة أشخاص يتزلجون علي الألواح في الماء.
000000068059.jpg,طاولة موضوع عليها طبق به الكثير من البرتقال
000000068082.jpg,صينية من تورتة الشيكولاتة مأخوذ منها قطعة
000000068085.jpg,أحد الأشخاص ممسكاً بيديه قطعة حلوى
000000068114.jpg,اشارة ضوئية وشارع كبير واشجار كبيرة
000000068117.jpg,مركب ازرق وسط غابة وحشائش
000000068117.jpg,مركب صغير بداخل مساحة خضراء وخلفها جبل.
000000068120.jpg,رجلان كبيران يمتطيان حصانان اسود وبني
000000068128.jpg,محطة قطار وبها أشخاص يحملون حقائبهم.
000000068130.jpg,مجموعة اشخاص تقطع الطريق عبر خط المشاه
000000068167.jpg,حافلة كبيرة تسير علي الطريق.. وعلي الجانب جليد متراكم
000000068176.jpg,رجل يرتدي ملابس سوداء يقود دراجته بجوار أحد السيارات الآخرى
000000068183.jpg,ساندوتش من الدجاج والخضار بجواره بطاطا
000000068194.jpg,بداية قطار يقف على الرصيف يستعد
000000068198.jpg,حجرة بها دراجة صغيرة وثلاجة بجوار كرسي وستائر علي شباك أعلي سرير أرضي
000000068231.jpg,"طائرات علي سطح الماء، وأعلام ترفرف أعلي العمود."
000000068238.jpg,قطة تنام على كرسي شارع
000000068242.jpg,كلب بني يتزلج علي لوح أزرق في البحر.
000000068293.jpg,طائر الحسون من اجمل الطيور
000000068300.jpg,طاولة موضوع عليها طبق من المكرونة والبروكلي وبجانبه زجاجة مياة غازية
000000068305.jpg,حوض صغير ابيض ومراة كبيرة
000000068344.jpg,طبق به كعكة بالشيكولاتة وبجواره سكين وكوب من الشاي.
000000068352.jpg,قطار بخاري يسير على القضيب
000000068356.jpg,منضدة تحمل أطباق وأكواب وخبز
000000068356.jpg,طاولة موضوع بها بعض من أطباق الحلوى وبعض الفناجين
000000068375.jpg,جزيرة داخل الماء بالجوار يسير بها مركبة شراعية
000000068380.jpg,بعض من فاكهة الموز الموضوعة على الطاولة للبيع
000000068381.jpg,أحد المحال الموضوع أمامها دراجة و في إنعكاسها يقف شخص يلتقط صوره للمبنى
000000068397.jpg,صينية موضوع بها إناء به بعض المخبوزات وكوب من القهوة
000000068411.jpg,العديد من الدمى يتوسطهم دمية على شكل دُب باللون الأزرق
000000068444.jpg,طفل بجانبه عدة دمي علي السرير
000000068445.jpg,مجموعه من الازهار البيضاء والحمراء
000000068457.jpg,جناح طائرة مرسوم عليها شكل طائر باللون الأحمر وبجوارهم بعض السيارات الآخرى
000000068482.jpg,طبق به شرائح من اللحم بجانب طبق من الخضروات وبجانبهم ثمرة من البرتقال
000000068490.jpg,أثنان من الخيول بنية اللون تسير داخل منطقة رملية
000000068518.jpg,حافلة تسير في الطريق العام
000000068518.jpg,باص نقل ركاب يقف على الطريق
000000068520.jpg,حافلات كبيرة بيضاء تسير علي طريق أمام مبني.
000000068525.jpg,رجل يرتدي معطفا ثقيلا وخوذة يمسك بلوح تزلج فوق الجبل الجليدي
000000068576.jpg,شاشتان صغيرتان خلف كرسيين في طائرة.
000000068609.jpg,حديقة بها رجل ممسك بطائرة ورقية ويحلقها عالياً
000000068623.jpg,تلة من الاعشاب وفيلة تمشي
000000068646.jpg,طفل مرهق من العمل خلف شاشة الحاسوب
000000068654.jpg,محطة قطار مغطاة ويستعد الناس للركوب.
000000068674.jpg,طفل رضيع يجلس في حقيبة سفر
000000068697.jpg,ثلاث من الدُمي الموضوعة على مقعد خشبي
000000068713.jpg,أحد الزرافات تجلس على الحشائش
000000068715.jpg,العديد من اللافتات الموضوعة على أحد الاعمدة بداخل حديقة
000000068717.jpg,قطة سوداء تقف أمام النافذة
000000068738.jpg,حقائب سفر موضوعه داخل الحجرة الخلفية لعربة
000000068745.jpg,دمي وكاسات وملاعق موضوعة في حقيبة مفتوحة
000000068752.jpg,طائرة شراعية على شاطئ البحر
000000068763.jpg,شاب يقفز عاليا فوق الثلوج
000000068789.jpg,أمطار تنزل على عدد من السيارات
000000068814.jpg,طاولة عليها لوحة مفاتيح وشاشة حاسوب
000000068866.jpg,الكثير من حقائب السفر المختلفة الأحجام
000000068881.jpg,صحن به قطعة لحم مشوية وخضار مسلوق
000000068956.jpg,أحد المحال الموجودة داخل مبنى باللون اللبني وأعلاه هناك ساعة حائط
000000068993.jpg,لافتة مائلة على الثلوج في الشارع
000000069043.jpg,سفينة خضراء كبيرة في الماء
000000069163.jpg,دمية على شكل دُب والآخرى على شكل بطة موضوعين داخل حوض المياه ويغطيهم ماء ممزوج بالصابون
000000069197.jpg,رجلان علي أرض مكسوة بالجليد.. أحدهما علي ظهره
000000069214.jpg,غرفة فندقية جميلة رائعة الشكل
000000069215.jpg,طبق به بعض من الفاكهة بجوار إناء آخر وخلفهم لوحة ملُونة
000000069229.jpg,عدة بقرات وحشية تجلس علي الحشائش وبالخلف أشجار كثيفة.
000000069231.jpg,سرير مستلقي عليها قطتان باللون الأسود وآخرى بنيه اللون
000000069283.jpg,مظلات علي سلم أحد البيوت.
000000069284.jpg,"رجل يحمل حقيبة، يمشي علي رصيف محطة القطار"
000000069286.jpg,رجل يركب دراجة هوائية بالقرب من محلات بيع
000000069290.jpg,طفل رضيع ياكل بيده ويجلس
000000069302.jpg,طبق متنوع من الخضروات كالبروكلي و الجزر و بعض من قطع اللحم
000000069312.jpg,مجموعة طوالات وكراسي بيضاء اللون
000000069342.jpg,رجل يمسك مظلة ويسير فالطريق
000000069344.jpg,اطفال تقوم باكل قطع من الكيك
000000069346.jpg,بيتزا علي طبق خشبي في الموقد
000000069350.jpg,دُب أسود كبير يقف على أحد الصخور يجوار غابة مليئة بالأشجار و الزرع
000000069365.jpg,رجل وطفل اثناء التزلج على الجليد
000000069373.jpg,لافتة بجوار أشجار على جانب الطريق
000000069393.jpg,شاحنة صغيرة حمراء على الشاطيء
000000069393.jpg,شاطئ به عربة نقل حمراء اللون يقف بجانبها رجل
000000069401.jpg,تسعة طائرات حمراء تحلق في السماء ويتبعها غازاتها.
000000069411.jpg,بعض من الرجال يتزحلقون على الجليد
000000069424.jpg,حصان ابيض يقف وسط الاعشاب الصفراء
000000069440.jpg,رجل يجلس على مزلجة ويشاهد غروب الشمس
000000069461.jpg,مجموعة أبقار تأكل الحشائش في جزيرة تطل علي الماء.
000000069486.jpg,متجر للعصائر به يقف بائع وآخرون يشترون ويجلس أمامه رجلان وهناك العديد من الكراسي حوله
000000069535.jpg,ثمرة ونصف من الحمضيات على طاولة خشبية
000000069562.jpg,قط صغير ابيض و اشقر اللون امامه صحن
000000069564.jpg,بعض من الزجاجات المزخرفة الموضوعة بجانب بعضها
000000069572.jpg,ثور ياكل العشب وسط مزرعه كبيرة
000000069577.jpg,طاولة عليها فواكة وخضراوات  متنوعة وأكياس منتجات.
000000069579.jpg,طائرة أمام نوافذ المطار الزجاجية
000000069584.jpg,طائرة تحلق  بين غيوم السماء نهارا.
000000069587.jpg,طفل صغير يلعب بمضرب كرة التنس
000000069587.jpg,ملعب به طفل يجلس على الأرض ممسكاً بيديه مضرب كرة
000000069599.jpg,طفل يطير طائرة ورقية وأمامه شجر يجلس تحته أفراد
000000069599.jpg,طفل يلعب مقابل مجموعة من الرجال
000000069605.jpg,رجل  يرتدي خوذة يمتطي حصانا ابيض وخلفه شجيرات.
000000069616.jpg,"قطة مربوطة بحبل أحمر أمام سلم منزل،أمامها دراجة."
000000069625.jpg,رجل يغفوا على مقعد خشبي
000000069670.jpg,دراجة سوداء اللون مركونة داخل حديقة بجوارها بعض السيارات الآخرى
000000069750.jpg,ارفف مواعين مطبخ قديم واثري
000000069758.jpg,قط يجلس فوق اريكة بجوار النافذة
000000069768.jpg,جهاز حاسوب وكرسي مكتب ابيض كبير
000000069798.jpg,لافتة واشجار على جانب الطريق
000000069826.jpg,عُلبة على شكل مومياء موضوع بداخلها فرشة للأسنان بجوارها بعض أدوات التنظيف الآخرى
000000069874.jpg,جذع شجرة كبير يقطع الطريق
000000069887.jpg,رجلان يركبان مركب وسط البحر
000000069906.jpg,طبق منوع به قطعة من الاستيك و المكرونة و البروكلي
000000069911.jpg,لافتات بٱعلي الطريق. ويظهر أيضا أسلاك كهرباء حولها.
000000069928.jpg,مجسم فيل صغير اعلي العمود
000000069928.jpg,"يافطة بإسم محل تجاري، ومجسم فيل"
000000069936.jpg,مبنى به العديد من النوافذ ومزخرف بالألوان
000000069946.jpg,الكثير من المراكب و العبارات الموضوع قرب شاطئ البحر
000000069952.jpg,مجموعة من القوارب ترسو على جانب النهر
000000069956.jpg,دُب يسير داخل أحد الغابات
000000069959.jpg,كلب متدرب ويجيد الركض سريعا
000000069968.jpg,طائرة صغير على مدرج الاقلاع
000000069977.jpg,طريق عام ليلاً على جانبيه بعض الأشجار و لافته موضوع عليها كلمة قف
000000070067.jpg,ساعة تحمل عبارة (تاخرت كثيرا) على نافذة
000000070076.jpg,حصانان بنيان مربوطان بحبل أمام منزل.
000000070092.jpg,بلالين لكشف اتجاه وسرعة الرياح
000000070104.jpg,باص احمر يمشي تحت جسر
000000070178.jpg,سرب من الطيور تحلق في السماء.
000000070213.jpg,بعض من ثمار الليمون الملقة في أفرع الشجرة
000000070258.jpg,بعض من الاطفال يلهون بأطباق البلاستيك الطائرة
000000070280.jpg,طيور  تقف  علي شاطئ الماء
000000070280.jpg,طيور تقف على حافة صخرية قرب مسطح مائي
000000070285.jpg,جو جليدي يغطي الشجيرات والمنزل.
000000070334.jpg,ثلاث من الأغنام يقفان على صخرة متواجدة داخل مزرعة
000000070336.jpg,الأرض مغطاة بالجليد وكذلك الشجر.
000000070353.jpg,قطة بنية تجلس على أريكة
000000070380.jpg,تورتة بيضاء موضوعة في طبق و مأخوذ منها قطعة وبجوارها سكين
000000070485.jpg,شخص  يقوم بالتقاط صورة لبطة تعوم في الماء.
000000070493.jpg,"حافلة صفراء بها كلاب، وعليها لافتة توقف"
000000070558.jpg,ثلاثة ببغاءات ملونة أزرق وأصفر. تقف علي فروع خشبية
000000070688.jpg,كرسي انتظار في شارع عام
000000070724.jpg,"طفل يرتدي ملابس العوم، فوق سطح الماء"
000000070788.jpg,رجل يتزحلق على الجليد مرتدياً قبعة ولوح تزحلق
000000070791.jpg,رجل في بحر يحاول السباحة
000000070856.jpg,طائر رمادي يقف على كومة قش
000000070871.jpg,عدة مراكب وسفن في الماء وعلي جانبيها غابة كثيفة.
000000070889.jpg,طائرة بيضاء علي أرض خضراء متسعة
000000070896.jpg,ثلاثة رجال يسبحون في الماء باستخدام الألواح.
000000070943.jpg,رجل ممسك طفل بيديه وخلفه يسير أحد الأفيال
000000071206.jpg,"شرائح من البيتزا في أطباق، وعليها قطع طماطم."
000000071255.jpg,حقيبة موضوع عليها دُمية على شكل دُب بني يرتدي ملابس رمادية اللون
000000071322.jpg,"إشارة مرور حمراء علي الجانب، وسيارات علي الطريق. وبالخلف مرتفعات"
000000071345.jpg,طريق عام يسير به العديد من السيارات وبجواره هناك يسير قطاران
000000071347.jpg,طفل يرتدي الاحمر ويلعب في الالعاب
000000071360.jpg,طفل صغير رضيع يمسك فرشاة
000000071360.jpg,طفل صغير يضع فرشاة الأسنان في فمه.
000000071384.jpg,مجموعة من السيارات تقف في شارع ودراجة نارية
000000071399.jpg,شرائح من الجزر المقطع في وعاء زجاجي
000000071558.jpg,شجرة يقف بالقرب منها أحد الخراف وجدي صغير
000000071682.jpg,ليمون أصفر وأخضر ويوسفي في السوق وعليهم لافتة السعر
000000071718.jpg,فازة شفافة موضوع بها مجموعة من الزهور
000000071724.jpg,"قارب صغير يقترب من شاطئ الماء،وبعض البيوت وسط الأشجار الكثيفة."
000000071784.jpg,تفاحة حمراء بجوار برتقالة صغيرة
000000071796.jpg,شاطئ رملي محاط بأسوار خشبية موضوع به بعض الكراسي الخشبية بجانب شجرة ويطل على البحر
000000071828.jpg,بقرتان تحت شجرة وأمامهما عربة خشبية.
000000072004.jpg,صينية موضوع بها ييتزا صغيرة معدة للطهي
000000072007.jpg,خبز توست مقسوم من النصف
000000072011.jpg,"أشجار وأوراق عديدة متساقطة علي الأرض، وعلي الجانب الآخر سيارات علي الطريق."
000000072024.jpg,بعض من المراكب الموضوعة على الشاطئ بجوار بعض الرجال
000000072120.jpg,بستان به شجيرات وورود وكرسي صغير.
000000072165.jpg,طفلة صغيرة مستلقية على سرير ومغطاة
000000072187.jpg,زرافات تمشي في الغابة بين الاشجار
000000072216.jpg,ثلاثة أفيال في مكان خشبي يأكلون العشب.
000000072222.jpg,أزهار حمراء في كوب خشبي
000000072237.jpg,"ادوات خياطة، قطعة قماش ووحدة قياس ومقص وابرة"
000000072275.jpg,"طاولة موضوع عليها طبق به فاكهة متنوعة كالموز، التفاخ، الخوخ و المشمش"
000000072370.jpg,يد تحمل قطعة من خضار اثناء التقطيع للطهي
000000072437.jpg,ولدان يجلسان علي حافة سرير ويمسكان بجهاز تحكم.
000000072556.jpg,قط يلاحق طائر صغير بين الاعشاب
000000072605.jpg,قطة سوداء اللون تجلس داخل حوض مياه
000000072621.jpg,طائران أبيضان علي شاطئ الماء
000000072626.jpg,طفلة تحمل طبق وبجوارها طفل صغير
000000072656.jpg,ثلاث أطفال يجلسون على طاولة و يتناولون الطعام
000000072666.jpg,طائرة تابعة للخطوط الجوية الكويتية
000000072681.jpg,ملعب به طفلة ترتدي قبعة سوداء وتمسك بيديها مضرب كرة
000000072752.jpg,"طاولة طعام مربعة محاطة بأربعة كراسي، وعلي الحائط معلق ساعة وبعض الإطارات."
000000072810.jpg,دراجة تستند علي مقعد خشبي في أرض جليدية.
000000072821.jpg,طاولة طعام بها صحن موضوع به ثمرة موز مقسمة وبجانبه زجاجة وكوب وعليها يجلس شخص
000000072944.jpg,طفل يرتدي ملابس برتقاليه اللون ويتزحلق بلوحه على سلم للتزحلق
000000072993.jpg,قطار بخاري اثناء خروجة من تحت جسر
000000073019.jpg,بروكلي وباذنجان وخضرة موضوعين علي الطاولة الخشبية.
000000073154.jpg,حافلة برتقالية أمام حجرة في البستان.
000000073187.jpg,"شاحنة نقل علي طريق.. وبالمقدمة بقرة،ومجموعة ماعز."
000000073187.jpg,مزرعة بها بركة مياة تسير بها عربة نقل و أحد البقرات وبجوارهم يوجد مجموعة من الأغنام
000000073197.jpg,طفل يجلس بالقرب من دمية كبيرة
000000073260.jpg,قطة رمادية يبدو أنها تنظر لشئ ما
000000073260.jpg,هرة جميلة تنظر الي الامام
000000073276.jpg,شاحنة نقل بيضاء أمام مبني.
000000073276.jpg,شاحنة نقل كبيرة بيضاء متوقفة
000000073293.jpg,أب يقف بجوار طفلتان صغيرتان أحدهم تأكل ثمرة
000000073437.jpg,رجل يقود دراجة هوائية بجوار منزل ابيض
000000073661.jpg,"إشارة مرور حمراء  علي الجانب، وسيارات تسير، وفي الخلف مباني كبيرة."
000000073922.jpg,طائران يأكلان من ثمرة فاكهة علي غصن شجرة
000000073925.jpg,أحد الأشخاص ممسك بيديه قطعة من الشطير
000000074138.jpg,عُلبة بلاستيكية على شكل موزة موضوع بها ثمرة موز
000000074159.jpg,حديقة بجانب طريق عام متواجد بها بعض الأشجار ومقعد
000000074331.jpg,علبة من الورق المقوى تحتوي على مجموعة من الموز
000000074348.jpg,طائر ازرق يقف على جذع شجرة
000000074388.jpg,خلاط الطعام ويحتوي على طعام اخضر اللون
000000074390.jpg,طائر ملون يقف على فرع شجرة
000000074466.jpg,اشاره مرور حمراء مكسورة على جانب الطريق
000000074477.jpg,طائر أسود يقف على فرع شجرة
000000074499.jpg,قارب أزرق علي الشاطئ الرملي وبالخلف قارب آخر.
000000074534.jpg,العديد من الأطباق بها أصناف متعددة من الخضار و الفاكهة والجبن و الأرز
000000074711.jpg,بطتان سوداء في البحيرة تسبحان
000000074711.jpg,إوزتان تعومان في الماء الذي يبدو أخضر اللون
000000074798.jpg,طائر بمنقار يقف أعلي بناء.
000000074798.jpg,طائر يقف فوق مدخنة مبنى
000000074923.jpg,أشخاص يرتدون ملابس رياضية بيضاء في الملعب ويمسكون عصا وكرة صغيرة.
000000074951.jpg,أطفال صغار يلبسون الأزرق والأحمر يلعبون الكرة.
000000075046.jpg,زاوية غرفة لها شباك كبير
000000075076.jpg,مقعد خشبي داخل غابة مليئة بالاشجار و الزهور المُلونة
000000075132.jpg,طبق طائر باللون البرتقالي يحلق عالياً داخل حديقة
000000075132.jpg,"مساحة  واسعة مزروعة بالشجر، وبالأعلي طبق برتقالي طائر."
000000075173.jpg,كرسي خشبي موضوع بجانب طريق
000000075190.jpg,شجيرات وزرع كثيف وبالأسفل مقعد.
000000075243.jpg,سفينة تبحر في مجرى مائي بين جبلين
000000075257.jpg,خبز محشو بأوراق خضار بداخل كيس بلاستيكي على طاولة خشبية.
000000075308.jpg,إشارات المرور حمراء وسيارات علي الطريق وعمدان الإنارة مضاءة أمام برج بأعلاه ساعة كبيرة.في جو ضبابي
000000075352.jpg,مرفأ مائي صغير وسفن راسية
000000075496.jpg,طائر يقف على مرآة سيارة حمراء اللون
000000075586.jpg,قط يجلس على كرسي خشبي بين الاشجار
000000075624.jpg,طفلة تمسك بجهاز التحكم وتجلس علي السرير.
000000075663.jpg,مطبخ مرتب به أرفف لوضع الأغراض ومنضدة صغيرة وبعض الرسومات
000000075691.jpg,طائران أبيضان اللون يقفان على سور يطل على بحيرة
000000075806.jpg,مجموعة ألعاب هوائية كبيرة في الهواء علي أرض خضراء.
000000075888.jpg,خضروات متنوعة تشكل شكل مبتسم
000000075923.jpg,دراجة موضوعة بجانب مقعد خشبي
000000076001.jpg,أبقار على سهل اخضر واشجار
000000076005.jpg,دمية بنية كبيرة موضوعة علي منضدة في الردهة
000000076009.jpg,عربات بيضاء تقف بجوار طائرة
000000076014.jpg,دراجة نارية تستند علي جانب الطريق وعلي الجانب الآخر سيارات جوار بعضها أمام مبني
000000076015.jpg,قطعة من التورتة موضوع في طبق بجانبه طبق آخر به تورتة و ملعقة
000000076042.jpg,اصناف حلوى منتوعة في عرض للبيع
000000076107.jpg,قارب صغير في الماء وعليه بعض الطيور البيضاء
000000076111.jpg,شاطئ رملي موضوع به أحد المظال المُلونة
000000076138.jpg,البروكلي: من الخضار الصحية و الغنية جدا بالمعادن
000000076149.jpg,لافتة طريق بجوار مبنى ابيض
000000076150.jpg,لافتة معلقة تنص علي السير على مهلٍ
000000076195.jpg,قطة تجلس على الأرض ويظهر عليها إنعكاسها
000000076207.jpg,إناء موضوع به بعض شرائح اللحم الممزوجة ببعض الخضروات المتنوعة
000000076213.jpg,قطار برتقالي يسير بجانب مزرعة
000000076250.jpg,خزانة عرض حلويات متنوعة ومشكلة
000000076254.jpg,العديد من فاكهة الرمان والبرتقال المُقسمة
000000076307.jpg,خبز فينو في صحن ابيض واسع
000000076310.jpg,غنمة تأكل من الحشائش وحولها طيور  سوداءتحلق.
000000076351.jpg,فيل يستند علي شجرة ضخمة
000000076384.jpg,طاولة مقدم عليها أطباق طعام وعصير
000000076428.jpg,قطعة من الجاتوه موضوع عليها مزيج من فاكهة التوت والفراولة و بجانبها يتواجد شوكة طعام
000000076462.jpg,طبق به شرائح من الموز بجانب كوب من القهوة
000000076487.jpg,رجل يرتدي بدلة واخر بالأمام بجانب مقطورة القطار
000000076491.jpg,كلب اسود وسط ثلوج بيضاء
000000076493.jpg,دراجتان ناريتان أحدهم باللون الأسود والآخرى باللون الأبيض موضوعين بجانب الطريق
000000076589.jpg,بعض الورود في زجاجات الكوكاكولا
000000076654.jpg,بيتزا بالخضار مقدمة علي صحن أسود
000000076674.jpg,كرسي انتظار خشبي بجوار حشائش
000000076680.jpg,طفلة تمسك دمية وترفع يدها
000000076784.jpg,شاب يتزلج علي لوح ويقفز به أمام مبني له نوافذ زجاجية.
000000076802.jpg,غرفة جلوس بها نافذة زجاجية كبيرة
000000076847.jpg,"جزيرة وسط الماء. عليها أشخاص، وبجانبها قاربان."
000000076872.jpg,"مزهرية بيصاء بها ورد برتقالي، علي طاولة زجاجية"
000000076899.jpg,تفاح أحمر بجوار تفاح بني
000000076918.jpg,العديد من الزرع وبالجوار هناك طائر يسير على أحد شواطئ البحر
000000076971.jpg,زرافة وخلفها قطيع حمير وحشية في أرض  عشبية كثيفة
000000076985.jpg,قطة سوداء تجلس خلف النافذة وتنظر إلي الطيور الواقفة خلفه
000000076988.jpg,الكثير من المقصات مختلفة الأحجام موضوعة على طاولة وبعضها موضوع في صندوق
000000077058.jpg,بعض من الفاكهة المعروضة للبيع كالفراولة والعنب و البرتقال وموضوع على كلاً منها سعره
000000077061.jpg,رجلان يركبان على خيول ويسير في طريق صحراوي
000000077063.jpg,"رجل يلبس خوذه يمتطي حصانا، وقت الغروب"
000000077067.jpg,"جليد كثيف يغطي المكان، والسيارات والشاحنة وبعض الأشخاص يسيرون  عليه"
000000077102.jpg,أحواض زرع في زاوية المطبخ
000000077118.jpg,دب اسود يصطاد الاسماك من النهر
000000077184.jpg,باخرة تسير داخل مياه البحر
000000077187.jpg,دب بني اللون يقف أمام شجرة ضخمة
000000077296.jpg,حديقة مليئة بالأشجار والزرع أمامها مقعد يستلقى عليه رجل
000000077304.jpg,كرسي خشبي باللون الابيض امام شاطئ
000000077346.jpg,ساعة خشبية على شكل حيوان
000000077377.jpg,طفلان صغيران مستلقيان يشربان الحليب
000000077415.jpg,شخص ممسك عُلبة في يديه وأمامه طبق به موضوع شطيرة
000000077516.jpg,شطيرة من اللحم و مزيج من الخضروات
000000077548.jpg,أحد الأفيال يسير بجوار بعض المباني
000000077550.jpg,طائرة تحلق عالياً وسط سماء مليئة بالسحاب
000000077557.jpg,"طبق به بعض حبات العنب، والبروكلي وبعض المعكرونة الملتفة"
000000077563.jpg,طائر أسود اللون يقف مقابل المنارة
000000077569.jpg,دراجة نارية باللون الأبيض موضوعة داخل متجر للدراجات
000000077601.jpg,طائرات علي الأرض أمام مسطح مائي
000000077649.jpg,"طبق به خبز ببعض المكسرات، وبجواره كأس قهوة"
000000077697.jpg,زاوية غرفة معيشة وموقد نار
000000077699.jpg,القليل من الكعك مع كوب الشاي
000000077750.jpg,أطباق بها ساندويش و خضار وكوب أحمر
000000077797.jpg,قطار لعبة صغير علي الطاولة
000000077805.jpg,رجل يقوم باطعام طائر ابيض
000000077811.jpg,سيارة لعبة صغيرة صفراء مضاءة المصابيح
000000077855.jpg,أثنان من الغنم يتغذون على الحشائش
000000077899.jpg,سيارة اطفاء اثناء عملية تزويدها بالماء
000000077901.jpg,دمية تجلس في زاوية فوق منضدة خشب
000000077912.jpg,سفينة كبيرة علي الشاطئ وحولها أشخاص وبالخلف جبال عالية
000000077924.jpg,سيارات تقف على اشارة ضوئية
000000077928.jpg,رجل يقف مع أحد الخيول البنية الموجود داخل أسطابل الخيول
000000077953.jpg,مراكب وقوارب تصطف في المرسي أمام المباني
000000077953.jpg,ميناء مليئة ببعض المراكب الملونة بجوارها بعض المباني
000000077990.jpg,بوتجاز مع فرن لاعداد الوجبات الشهية
000000078085.jpg,مكتب عليه ثلاثة أجهزة حاسوب وبعض الأوراق
000000078089.jpg,أرض واسعة بها أبقار وكلب
000000078106.jpg,طائر يحلق عاليا فوق الشجر
000000078107.jpg,شاشة تلفاز تجلس أمامها قطة وتنظر إليها
000000078117.jpg,كرسي خشبي ابيض واخضر وسط الحديقة
000000078130.jpg,ارض بجوار غابة بها يجلس أحد الزرافات بجوار بعض الزرافات الآخرى
000000078188.jpg,"قطة تنام علي لوحة مفاتيح الحاسوب المحمول، الموضوع علي السرير"
000000078194.jpg,طفل مستلقي على أريكة ممسكاً بأحدى يديه فرشاة أسنان
000000078243.jpg,غابة بها بعض الافيال مع  صغارها
000000078260.jpg,غرفة تحضير الطعام بها طاولة موضوع عليها فازة وحولها مقاعد وبها أيضاً بعض الأجهزة الأخرى
000000078283.jpg,"صندوق خشبي كبير يحوي عددا من التفاح الأخضر والأحمر، وآخر به برتقال"
000000078286.jpg,"إشارتي مرور وسيارات علي الطريق، خلفهم مبني"
000000078314.jpg,دباب فوق عربة نقل في الشارع
000000078354.jpg,طائرة تحلق عالياً فوق أحد المباني
000000078400.jpg,رجل وبنت صغيرة تقوم باللعب في شعره.
000000078407.jpg,ثلاث من الدمى أثنان بشكل دُب و الآخر بشكل قطة
000000078477.jpg,صحن موضوع على طاولة به عدد من البرتقال والليمون
000000078494.jpg,حمامتان أحدهما نائمة والأخري متيقظة
000000078546.jpg,مجلى مطبخ عليه بعض الاواني
000000078621.jpg,مقعد خشبي في وسط حديقة مليئة بالزرع والعشب
000000078663.jpg,غرفة بها سرير بجانب سرير آخر بدورين
000000078681.jpg,حديقة مليئة بالعشب والشجر بها مقعد
000000078762.jpg,طائرات ورقية بيضاء في السماء. وبالأسفل مسطح مائي ومساحة خضراء عليها بضعة أشخاص
000000078797.jpg,طائر يقف أمام نافذة دائرية تطل علي أشجار كثيفة.
000000078865.jpg,قطار  يسير وسط مساحة واسعة خضراء
000000078900.jpg,عدة أبقار تجلس تحت شجرة
000000078909.jpg,صحن به شطيرة وخضار وصلصة بيضاء
000000078920.jpg,رجل يتزحلق على الموج ممسكاً لوح تزحلق بجوارة بعض الأشخاص الآخرين
000000078941.jpg,خمسة أزواج من الأحذية وقط بجوارهم
000000078979.jpg,طائرة حربية قديمة الطراز في المتحف
000000079011.jpg,ثلاث زرافات في الغابة الواسعه
000000079047.jpg,تمثال لدب أسود وسط الطريق
000000079058.jpg,طفلة تأكل قطعة حلوي في طبق
000000079111.jpg,تفاح أخضر في وعاء خشبي
000000079116.jpg,زجاجة بها ورد تتوسط شمعتين
000000079146.jpg,"جزر مبشور وعليه بعض الخضرة، في طبق وبه ملعقة"
000000079156.jpg,مزهرية موضوعة علي طاولة خشبية أمام نافذة عليها ستائر
000000079172.jpg,تفاح وبرتقال في صناديق وفوقهم موز معلق
000000079191.jpg,لافتة طريق على جانب الشارع
000000079196.jpg,كلب يرقد علي وسادة  علي الأرض خلف نافذة بيت
000000079224.jpg,الكثير من الفاكهة المتنوعة المعروضة للبيع
